cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.091176,0,0.7598
0.7598,0.438,0,-0.091176,0,0.7598
0.7598,0.876,-1.8431,-0.091176,0,0.7598
0.7598,1.314,-1.8431,-0.091176,0,0.7598
0.7598,1.752,-1.8431,-0.091176,0,0.7598
0.7598,1.752,-1.8431,-0.091176,0,0.7598
0.7598,2.19,-1.8431,-0.091176,0,0.7598
0.7598,2.628,-1.8431,-0.091176,0,0.7598
0.7598,3.066,-1.8431,-0.091176,0,0.7598
0.7598,3.504,-1.8431,-0.091176,0,0.7598
0.7598,3.942,-1.8431,-0.091176,0,0.7598
0.7598,4.38,-1.8431,-0.091176,0,0.7598
0.7598,4.818,-1.8431,-0.091176,0,0.7598
0.7598,5.694,-1.8431,-0.091176,0,0.7598
0.7598,6.132,-1.8431,-0.091176,0,0.7598
0.7599,6.57,-1.8431,-0.091388,0.0001,0.759806
0.7599,6.57,-1.8431,-0.091188,0,0.759812
0.7598,4.8684,-1.8484,-0.090976,-0.0001,0.759811
0.7598,3.1892,-1.8434,-0.091176,0,0.759811
0.7597,1.6849,-1.8381,-0.090964,-0.0001,0.759805
0.7597,0.4706,-1.8431,-0.091164,0,0.7598
0.7596,0.6087,-1.8378,-0.090952,-0.0001,0.759791
0.7595,1.6225,-1.8428,-0.09094,-0.0001,0.759778
0.7594,1.7627,-1.8375,-0.090928,-0.0001,0.759763
0.7593,1.7263,-1.8372,-0.090916,-0.0001,0.759744
0.7592,1.5663,-1.8369,-0.090904,-0.0001,0.759723
0.7592,1.5663,-1.8369,-0.091104,0,0.759704
0.7591,1.3318,-1.8363,-0.090892,-0.0001,0.759682
0.759,1.0544,-1.8413,-0.09088,-0.0001,0.759659
0.7589,0.8267,-1.836,-0.090868,-0.0001,0.759633
0.7588,0.6473,-1.8357,-0.090856,-0.0001,0.759606
0.7588,0.6473,-1.8357,-0.091056,0,0.759581
0.7586,0.5275,-1.8351,-0.090632,-0.0002,0.759552
0.7585,0.5514,-1.8401,-0.09082,-0.0001,0.759521
0.7583,0.6201,-1.8295,-0.090596,-0.0002,0.759486
0.7582,0.6885,-1.8342,-0.090784,-0.0001,0.75945
0.758,0.7266,-1.8286,-0.09056,-0.0002,0.759411
0.758,0.7266,-1.8286,-0.09096,0,0.759374
0.7576,0.7884,-1.8277,-0.090112,-0.0004,0.759328
0.7576,0.7884,-1.8277,-0.090912,0,0.759285
0.7574,0.7654,-1.8165,-0.090488,-0.0002,0.759239
0.7572,0.7583,-1.8365,-0.090464,-0.0002,0.75919
0.757,0.8062,-1.8259,-0.09044,-0.0002,0.75914
0.7568,0.799,-1.8253,-0.090416,-0.0002,0.759086
0.7565,0.8523,-1.8247,-0.09018,-0.0003,0.759029
0.7565,0.8523,-1.8247,-0.09078,0,0.758974
0.7563,0.8872,-1.8182,-0.090356,-0.0002,0.758917
0.7561,0.9151,-1.8332,-0.090332,-0.0002,0.758858
0.7558,0.9722,-1.8226,-0.090096,-0.0003,0.758796
0.7555,1.0331,-1.822,-0.09006,-0.0003,0.75873
0.7555,1.0331,-1.822,-0.09066,0,0.758667
0.7552,1.0641,-1.8152,-0.090024,-0.0003,0.7586
0.7549,1.0767,-1.8302,-0.089988,-0.0003,0.75853
0.7546,1.1255,-1.8143,-0.089952,-0.0003,0.758457
0.7543,1.1635,-1.8134,-0.089916,-0.0003,0.758382
0.7543,1.1635,-1.8134,-0.090516,0,0.758309
0.7539,1.172,-1.8116,-0.089668,-0.0004,0.758232
0.7536,1.2571,-1.8266,-0.089832,-0.0003,0.758152
0.7532,1.2542,-1.8054,-0.089584,-0.0004,0.758068
0.7528,1.3294,-1.8095,-0.089536,-0.0004,0.75798
0.7525,1.377,-1.8033,-0.0897,-0.0003,0.75789
0.7525,1.377,-1.8033,-0.0903,0,0.757803
0.7516,1.4462,-1.8062,-0.088392,-0.0009,0.757705
0.7516,1.4462,-1.8062,-0.090192,0,0.757609
0.7512,1.4852,-1.7735,-0.089344,-0.0004,0.757511
0.7507,1.5489,-1.8185,-0.089084,-0.0005,0.757408
0.7503,1.5764,-1.7973,-0.089236,-0.0004,0.757301
0.7498,1.6127,-1.7908,-0.088976,-0.0005,0.757191
0.7498,1.6127,-1.7908,-0.089976,0,0.757084
0.7493,1.669,-1.7881,-0.088916,-0.0005,0.756973
0.7488,1.7035,-1.8131,-0.088856,-0.0005,0.756858
0.7477,1.8294,-1.7866,-0.087524,-0.0011,0.756731
0.7477,1.8294,-1.7866,-0.089724,0,0.756607
0.7472,1.8628,-1.7518,-0.088664,-0.0005,0.75648
0.7466,1.9185,-1.8068,-0.088392,-0.0006,0.756348
0.7453,2.0276,-1.7803,-0.086836,-0.0013,0.756203
0.7447,2.076,-1.7735,-0.088164,-0.0006,0.756053
0.7433,2.1977,-1.7346,-0.086396,-0.0014,0.75589
0.7433,2.1977,-1.7346,-0.089196,0,0.75573
0.7426,2.2425,-1.7236,-0.087712,-0.0007,0.755566
0.7419,2.2953,-1.7936,-0.087628,-0.0007,0.755398
0.7412,2.3637,-1.7565,-0.087544,-0.0007,0.755224
0.7404,2.4333,-1.7544,-0.087248,-0.0008,0.755046
0.7396,2.4983,-1.7523,-0.087152,-0.0008,0.754862
0.7387,2.5759,-1.7449,-0.086844,-0.0009,0.754672
0.7379,2.6351,-1.7425,-0.086948,-0.0008,0.754477
0.737,2.7144,-1.7348,-0.08664,-0.0009,0.754276
0.7351,2.8509,-1.7374,-0.084412,-0.0019,0.754058
0.7342,2.9143,-1.7297,-0.086304,-0.0009,0.753835
0.7332,2.9906,-1.674,-0.085984,-0.001,0.753606
0.7321,3.0757,-1.7213,-0.085652,-0.0011,0.753369
0.7321,3.0757,-1.7213,-0.087852,0,0.753138
0.7311,3.1383,-1.705,-0.085732,-0.001,0.752901
0.73,3.2033,-1.76,-0.0854,-0.0011,0.752657
0.7288,3.2716,-1.707,-0.085056,-0.0012,0.752406
0.7277,3.3379,-1.6987,-0.085124,-0.0011,0.752149
0.7265,3.405,-1.6901,-0.08478,-0.0012,0.751885
0.7253,3.4697,-1.6918,-0.084636,-0.0012,0.751613
0.7253,3.4697,-1.6918,-0.087036,0,0.751347
0.724,3.5371,-1.6796,-0.08428,-0.0013,0.751074
0.7227,3.6013,-1.7396,-0.084124,-0.0013,0.750703
0.7214,3.6698,-1.6707,-0.083968,-0.0013,0.750319
0.72,3.735,-1.6668,-0.0836,-0.0014,0.749921
0.72,3.735,-1.6668,-0.0864,0,0.749523
0.7186,3.8015,-1.6537,-0.083432,-0.0014,0.749111
0.7172,3.8653,-1.7237,-0.083264,-0.0014,0.748685
0.7157,3.9322,-1.6495,-0.082884,-0.0015,0.748244
0.7127,4.0613,-1.6453,-0.079524,-0.003,0.747773
0.7112,4.1245,-1.6358,-0.082344,-0.0015,0.747287
0.7096,4.1897,-1.5518,-0.081952,-0.0016,0.746785
0.7079,4.2537,-1.6223,-0.081548,-0.0017,0.746266
0.7063,4.3179,-1.6125,-0.081556,-0.0016,0.745731
0.7046,4.3819,-1.6024,-0.081152,-0.0017,0.745179
0.7028,4.4458,-1.6026,-0.080736,-0.0018,0.744609
0.7028,4.4458,-1.6026,-0.084336,0,0.744039
0.701,4.5096,-1.5821,-0.08052,-0.0018,0.74345
0.6992,4.5733,-1.6721,-0.080304,-0.0018,0.742843
0.6973,4.6368,-1.5767,-0.079876,-0.0019,0.742218
0.6954,4.7002,-1.5713,-0.079648,-0.0019,0.741574
0.6935,4.7635,-1.5606,-0.07942,-0.0019,0.740912
0.6915,4.8267,-1.5549,-0.07898,-0.002,0.74023
0.6915,4.8267,-1.5549,-0.08298,0,0.739549
0.6895,4.8897,-1.5382,-0.07874,-0.002,0.738849
0.6874,4.9526,-1.6382,-0.078288,-0.0021,0.738129
0.6853,5.0154,-1.5322,-0.078036,-0.0021,0.737389
0.6832,5.0781,-1.5209,-0.077784,-0.0021,0.736629
0.681,5.1406,-1.5146,-0.07732,-0.0022,0.735847
0.6787,5.203,-1.5083,-0.076844,-0.0023,0.735043
0.6765,5.2653,-1.4967,-0.07678,-0.0022,0.734218
0.6742,5.3274,-1.4848,-0.076304,-0.0023,0.733371
0.6742,5.3274,-1.4848,-0.080904,0,0.732525
0.6694,5.4514,-1.4713,-0.070728,-0.0048,0.731631
0.6694,5.4514,-1.4713,-0.080328,0,0.730739
0.667,5.5132,-1.3319,-0.07524,-0.0024,0.729824
0.6645,5.5748,-1.5719,-0.07474,-0.0025,0.728886
0.6619,5.6363,-1.4447,-0.074228,-0.0026,0.727923
0.6593,5.6977,-1.4322,-0.073916,-0.0026,0.726936
0.6593,5.6977,-1.4322,-0.079116,0,0.725949
0.6567,5.759,-1.4116,-0.073604,-0.0026,0.72494
0.654,5.8201,-1.5416,-0.07308,-0.0027,0.723904
0.6513,5.8812,-1.4038,-0.072756,-0.0027,0.722843
0.6485,5.9421,-1.3907,-0.07222,-0.0028,0.721756
0.6485,5.9421,-1.3907,-0.07782,0,0.720671
0.6457,6.0029,-1.3692,-0.071884,-0.0028,0.71956
0.6428,6.0635,-1.5092,-0.071336,-0.0029,0.718423
0.6398,6.124,-1.3608,-0.070776,-0.003,0.717256
0.6368,6.1844,-1.3471,-0.070416,-0.003,0.716061
0.6338,6.2447,-1.3331,-0.070056,-0.003,0.714838
0.6307,6.3049,-1.3241,-0.069484,-0.0031,0.713587
0.6307,6.3049,-1.3241,-0.075684,0,0.712339
0.6276,6.3649,-1.3008,-0.069112,-0.0031,0.71106
0.6244,6.4248,-1.4558,-0.068528,-0.0032,0.709752
0.6212,6.4845,-1.2915,-0.068144,-0.0032,0.708415
0.6179,6.5442,-1.2769,-0.067548,-0.0033,0.707048
0.6179,6.5442,-1.2769,-0.074148,0,0.705684
0.6146,6.6037,-1.2524,-0.067152,-0.0033,0.704287
0.6084,6.7224,-1.4174,-0.060608,-0.0062,0.702832
0.6057,6.7816,-1.2425,-0.067284,-0.0027,0.701353
0.6033,6.8406,-1.0789,-0.067596,-0.0024,0.699854
0.6013,6.8995,-1.2458,-0.068156,-0.002,0.698339
0.5997,6.9583,-1.2536,-0.068764,-0.0016,0.696811
0.5986,7.017,-1.2676,-0.069632,-0.0011,0.695272
0.5982,7.0755,-1.2828,-0.070984,-0.0004,0.693738
0.5985,7.134,-1.3045,-0.07242,0.0003,0.692207
0.5985,7.134,-1.3045,-0.07182,0,0.69068
0.5999,7.1922,-1.3742,-0.074788,0.0014,0.689172
0.5955,7.2504,-1.3592,-0.06266,-0.0044,0.687624
0.5909,7.3085,-1.4334,-0.061708,-0.0046,0.686035
0.5878,7.3664,-1.1302,-0.064336,-0.0031,0.684415
0.5851,7.4243,-1.1064,-0.064812,-0.0027,0.682773
0.5827,7.482,-1.1721,-0.065124,-0.0024,0.681112
0.5827,7.482,-1.1721,-0.069924,0,0.679462
0.5806,7.5396,-1.1918,-0.065472,-0.0021,0.677791
0.5787,7.597,-1.3118,-0.065644,-0.0019,0.676106
0.577,7.6544,-1.2005,-0.06584,-0.0017,0.67441
0.5755,7.7116,-1.2048,-0.06606,-0.0015,0.672712
0.5755,7.7116,-1.2048,-0.06906,0,0.67102
0.5742,7.7688,-1.2152,-0.066304,-0.0013,0.669329
0.5729,7.8257,-1.2902,-0.066148,-0.0013,0.667625
0.5718,7.8826,-1.2213,-0.066416,-0.0011,0.665917
0.5707,7.9394,-1.2174,-0.066284,-0.0011,0.664205
0.5698,7.996,-1.2241,-0.066576,-0.0009,0.662491
0.5698,7.996,-1.2241,-0.068376,0,0.660785
0.5689,8.0525,-1.2281,-0.066468,-0.0009,0.659078
0.568,8.1089,-1.2731,-0.06636,-0.0009,0.657371
0.5672,8.1652,-1.2254,-0.066464,-0.0008,0.655664
0.5663,8.2214,-1.2227,-0.066156,-0.0009,0.653957
0.5655,8.2775,-1.2253,-0.06626,-0.0008,0.652261
0.5655,8.2775,-1.2253,-0.06786,0,0.650574
0.5645,8.3334,-1.2202,-0.06574,-0.001,0.648887
0.5636,8.3892,-1.2602,-0.065832,-0.0009,0.647202
0.5626,8.445,-1.2072,-0.065512,-0.001,0.645507
0.5615,8.5005,-1.2095,-0.06518,-0.0011,0.643811
0.5604,8.556,-1.2015,-0.065048,-0.0011,0.642115
0.5604,8.556,-1.2015,-0.067248,0,0.640431
0.558,8.6667,-1.1899,-0.06216,-0.0024,0.638734
0.558,8.6667,-1.1899,-0.06696,0,0.637049
0.5568,8.7218,-1.1177,-0.064416,-0.0012,0.635364
0.5555,8.7768,-1.2377,-0.06406,-0.0013,0.633666
0.5541,8.8317,-1.1741,-0.063692,-0.0014,0.631967
0.5541,8.8317,-1.1741,-0.066492,0,0.630281
0.5528,8.8865,-1.156,-0.063736,-0.0013,0.628595
0.5513,8.9412,-1.226,-0.063156,-0.0015,0.626908
0.5498,8.9958,-1.1571,-0.062976,-0.0015,0.625206
0.5482,9.0503,-1.1426,-0.062584,-0.0016,0.623502
0.5466,9.1046,-1.1381,-0.062392,-0.0016,0.621796
0.545,9.1588,-1.1283,-0.0622,-0.0016,0.620089
0.5433,9.213,-1.1235,-0.061796,-0.0017,0.618395
0.5415,9.267,-1.1187,-0.06138,-0.0018,0.616698
0.5397,9.3209,-1.1086,-0.061164,-0.0018,0.614999
0.5378,9.3747,-1.0982,-0.060736,-0.0019,0.613298
0.5359,9.4284,-1.0928,-0.060508,-0.0019,0.611594
0.5359,9.4284,-1.0928,-0.064308,0,0.609907
0.534,9.4819,-1.0764,-0.06028,-0.0019,0.608219
0.5319,9.5354,-1.1714,-0.059628,-0.0021,0.60651
0.5299,9.5887,-1.0707,-0.059588,-0.002,0.604799
0.5277,9.642,-1.0544,-0.058924,-0.0022,0.603084
0.5277,9.642,-1.0544,-0.063324,0,0.601388
0.5255,9.6951,-1.0368,-0.05866,-0.0022,0.599689
0.5233,9.7481,-1.1468,-0.058396,-0.0022,0.597987
0.521,9.801,-1.0302,-0.05792,-0.0023,0.596282
0.5162,9.9065,-1.0236,-0.052344,-0.0048,0.594529
0.5137,9.9591,-1.0117,-0.056644,-0.0025,0.592771
0.5137,9.9591,-1.0117,-0.061644,0,0.591034
0.5112,10.0116,-0.9798,-0.056344,-0.0025,0.589293
0.5086,10.0639,-1.1048,-0.055832,-0.0026,0.587547
0.506,10.1162,-0.9723,-0.05552,-0.0026,0.585797
0.5033,10.1683,-0.9595,-0.054996,-0.0027,0.584043
0.5033,10.1683,-0.9595,-0.060396,0,0.582311
0.5005,10.2203,-0.9386,-0.05446,-0.0028,0.580574
0.4948,10.3241,-1.0736,-0.047976,-0.0057,0.57878
0.4918,10.3758,-0.9252,-0.053016,-0.003,0.577004
0.4888,10.4274,-0.7631,-0.052656,-0.003,0.575198
0.4858,10.4789,-0.8891,-0.052296,-0.003,0.573386
0.4858,10.4789,-0.8891,-0.058296,0,0.571599
0.4827,10.5303,-0.8711,-0.051724,-0.0031,0.569807
0.4796,10.5816,-1.0211,-0.051352,-0.0031,0.56801
0.4763,10.6328,-0.8568,-0.050556,-0.0033,0.56618
0.4731,10.6839,-0.8475,-0.050372,-0.0032,0.564344
0.4731,10.6839,-0.8475,-0.056772,0,0.562535
0.4698,10.7348,-0.823,-0.049776,-0.0033,0.56072
0.4664,10.7857,-0.983,-0.049168,-0.0034,0.558899
0.4594,10.8871,-0.8081,-0.041128,-0.007,0.557008
0.4594,10.8871,-0.8081,-0.055128,0,0.555145
0.4524,10.9881,-0.5919,-0.040288,-0.007,0.553241
0.4487,11.0384,-0.9419,-0.046444,-0.0037,0.55133
0.4487,11.0384,-0.9419,-0.053844,0,0.549449
0.4451,11.0887,-0.7248,-0.046212,-0.0036,0.547562
0.4413,11.1388,-0.9098,-0.045356,-0.0038,0.545668
0.4375,11.1888,-0.719,-0.0449,-0.0038,0.543736
0.4375,11.1888,-0.719,-0.0525,0,0.541835
0.4336,11.2658,-0.6862,-0.044232,-0.0039,0.539927
0.4297,11.241,-0.8762,-0.043764,-0.0039,0.538012
0.4257,11.4628,-0.6695,-0.043084,-0.004,0.53609
0.4218,11.0645,-0.6578,-0.042816,-0.0039,0.534129
0.4177,11.4136,-0.6408,-0.041924,-0.0041,0.53216
0.4177,11.4136,-0.6408,-0.050124,0,0.530253
0.4136,11.5799,-0.6118,-0.041432,-0.0041,0.528332
0.4095,11.2847,-0.8168,-0.04094,-0.0041,0.526394
0.4052,11.6948,-0.5995,-0.040024,-0.0043,0.524433
