cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.117769,0,0.7598
0.7598,0.438,0,-0.117769,0,0.7598
0.7598,0.876,-2.5079,-0.117769,0,0.7598
0.7598,0.876,-2.5079,-0.117769,0,0.7598
0.7598,1.314,-2.5079,-0.117769,0,0.7598
0.7598,1.752,-2.5079,-0.117769,0,0.7598
0.7598,2.19,-2.5079,-0.117769,0,0.7598
0.7598,2.19,-2.5079,-0.117769,0,0.7598
0.7598,2.628,-2.5079,-0.117769,0,0.7598
0.7598,3.066,-2.5079,-0.117769,0,0.7598
0.7598,3.504,-2.5079,-0.117769,0,0.7598
0.7598,3.942,-2.5079,-0.117769,0,0.7598
0.7598,4.38,-2.5079,-0.117769,0,0.7598
0.7598,4.38,-2.5079,-0.117769,0,0.7598
0.7598,4.818,-2.5079,-0.117769,0,0.7598
0.7598,5.256,-2.5079,-0.117769,0,0.7598
0.7598,5.694,-2.5079,-0.117769,0,0.7598
0.7598,6.132,-2.5079,-0.117769,0,0.7598
0.7599,6.57,-2.5079,-0.117964,0.0001,0.759805
0.7598,6.7858,-2.5079,-0.117589,-0.0001,0.759805
0.7598,6.7858,-2.5079,-0.117769,0,0.759805
0.7598,4.8685,-2.5034,-0.117769,0,0.759805
0.7597,3.194,-2.5079,-0.117574,-0.0001,0.7598
0.7597,1.6816,-2.5079,-0.117754,0,0.759796
0.7596,0.48,-2.503,-0.117559,-0.0001,0.759788
0.7596,0.48,-2.503,-0.117739,0,0.759781
0.7595,0.5919,-2.5026,-0.117544,-0.0001,0.75977
0.7593,1.6076,-2.5071,-0.117334,-0.0002,0.759754
0.7593,1.6076,-2.5071,-0.117694,0,0.759738
0.7592,1.7688,-2.497,-0.117499,-0.0001,0.75972
0.7592,1.7688,-2.497,-0.117679,0,0.759703
0.759,1.7323,-2.5011,-0.117288,-0.0002,0.759681
0.7589,1.5625,-2.5056,-0.117453,-0.0001,0.759658
0.7588,1.3206,-2.4959,-0.117438,-0.0001,0.759632
0.7586,1.0585,-2.5,-0.117228,-0.0002,0.759603
0.7584,0.8216,-2.4996,-0.117198,-0.0002,0.759569
0.7583,0.6309,-2.4944,-0.117363,-0.0001,0.759535
0.7583,0.6309,-2.4944,-0.117543,0,0.759503
0.7581,0.5046,-2.4977,-0.117152,-0.0002,0.759467
0.758,0.5477,-2.5022,-0.117317,-0.0001,0.75943
0.7578,0.5978,-2.4925,-0.117107,-0.0002,0.75939
0.7576,0.6668,-2.4966,-0.117077,-0.0002,0.759348
0.7574,0.7029,-2.4913,-0.117047,-0.0002,0.759302
0.7571,0.726,-2.4906,-0.116821,-0.0003,0.759252
0.7569,0.7687,-2.4898,-0.116971,-0.0002,0.7592
0.7566,0.7893,-2.4842,-0.116746,-0.0003,0.759143
0.7566,0.7893,-2.4842,-0.117285,0,0.759089
0.7564,0.7581,-2.4823,-0.116895,-0.0002,0.759033
0.7561,0.7923,-2.4958,-0.11667,-0.0003,0.758973
0.7561,0.7923,-2.4958,-0.11721,0,0.758916
0.7559,0.7807,-2.4804,-0.116819,-0.0002,0.758857
0.7556,0.8824,-2.4939,-0.116594,-0.0003,0.758794
0.7552,0.8789,-2.4842,-0.116354,-0.0004,0.758726
0.7549,0.8814,-2.4785,-0.116488,-0.0003,0.758656
0.7546,0.9716,-2.4725,-0.116443,-0.0003,0.758582
0.7543,0.9836,-2.4759,-0.116398,-0.0003,0.758505
0.7543,0.9836,-2.4759,-0.116937,0,0.758432
0.7539,1.0226,-2.4736,-0.116157,-0.0004,0.758353
0.7535,1.0489,-2.4871,-0.116096,-0.0004,0.758271
0.7532,1.064,-2.4676,-0.116231,-0.0003,0.758187
0.7528,1.1085,-2.4661,-0.11599,-0.0004,0.758098
0.7528,1.1085,-2.4661,-0.11671,0,0.758013
0.7524,1.1617,-2.4634,-0.11593,-0.0004,0.757924
0.752,1.236,-2.4814,-0.115869,-0.0004,0.757831
0.7515,1.2573,-2.4619,-0.115614,-0.0005,0.757734
0.7511,1.3079,-2.4604,-0.115733,-0.0004,0.757633
0.7506,1.341,-2.454,-0.115478,-0.0005,0.757528
0.7501,1.3725,-2.457,-0.115402,-0.0005,0.757419
0.7501,1.3725,-2.457,-0.116302,0,0.757313
0.7496,1.4147,-2.4487,-0.115326,-0.0005,0.757203
0.7491,1.4752,-2.4712,-0.11525,-0.0005,0.757089
0.7485,1.4797,-2.4468,-0.11498,-0.0006,0.756969
0.748,1.5612,-2.4449,-0.115084,-0.0005,0.756847
0.748,1.5612,-2.4449,-0.115984,0,0.756727
0.7474,1.5808,-2.4408,-0.114813,-0.0006,0.756603
0.7468,1.6213,-2.4633,-0.114722,-0.0006,0.756474
0.7462,1.7016,-2.434,-0.114632,-0.0006,0.75634
0.7455,1.7611,-2.4317,-0.114346,-0.0007,0.756201
0.7449,1.7873,-2.4295,-0.114435,-0.0006,0.756058
0.7442,1.8291,-2.4223,-0.11415,-0.0007,0.75591
0.7442,1.8291,-2.4223,-0.115409,0,0.755765
0.7435,1.8743,-2.4174,-0.114043,-0.0007,0.755616
0.7428,1.9008,-2.4489,-0.113937,-0.0007,0.755461
0.7421,1.9732,-2.4147,-0.113832,-0.0007,0.755302
0.7421,1.9732,-2.4147,-0.115091,0,0.755147
0.7406,2.0939,-2.4095,-0.112165,-0.0015,0.754978
0.7406,2.0939,-2.4095,-0.114864,0,0.754813
0.7397,2.1501,-2.3678,-0.113108,-0.0009,0.754641
0.7397,2.1501,-2.3678,-0.114727,0,0.754473
0.7389,2.2334,-2.3914,-0.113166,-0.0008,0.7543
0.738,2.3029,-2.4319,-0.112851,-0.0009,0.754121
0.7371,2.3544,-2.3928,-0.112715,-0.0009,0.753936
0.7371,2.3544,-2.3928,-0.114334,0,0.753755
0.7362,2.4135,-2.3815,-0.112578,-0.0009,0.753568
0.7342,2.5606,-2.422,-0.110297,-0.002,0.753364
0.7342,2.5606,-2.422,-0.113896,0,0.753165
0.7332,2.6098,-2.3211,-0.111945,-0.001,0.752959
0.7322,2.6791,-2.4111,-0.111794,-0.001,0.752747
0.7311,2.7424,-2.3623,-0.111448,-0.0011,0.752528
0.7311,2.7424,-2.3623,-0.113427,0,0.752314
0.73,2.8123,-2.3499,-0.11128,-0.0011,0.752016
0.7288,2.8755,-2.3993,-0.110919,-0.0012,0.751706
0.7276,2.9324,-2.3457,-0.110737,-0.0012,0.751384
0.7264,3.0192,-2.3366,-0.110555,-0.0012,0.75105
0.7264,3.0192,-2.3366,-0.112714,0,0.750716
0.7251,3.0761,-2.3275,-0.110177,-0.0013,0.750369
0.7238,3.1404,-2.3815,-0.10998,-0.0013,0.750009
0.7225,3.2067,-2.3181,-0.109783,-0.0013,0.749636
0.7211,3.2816,-2.3132,-0.109391,-0.0014,0.749249
0.7197,3.3434,-2.3082,-0.109179,-0.0014,0.748848
0.7183,3.4096,-2.2984,-0.108967,-0.0014,0.748433
0.7183,3.4096,-2.2984,-0.111485,0,0.748018
0.7168,3.4771,-2.2878,-0.108558,-0.0015,0.747588
0.7152,3.5408,-2.3508,-0.108136,-0.0016,0.747142
0.7137,3.6098,-2.2776,-0.108088,-0.0015,0.746681
0.712,3.6738,-2.2671,-0.107471,-0.0017,0.746203
0.712,3.6738,-2.2671,-0.110529,0,0.745725
0.7104,3.7415,-2.2504,-0.107406,-0.0016,0.745231
0.7087,3.8058,-2.3269,-0.106969,-0.0017,0.744719
0.7069,3.873,-2.2488,-0.106516,-0.0018,0.74419
0.7052,3.9354,-2.2379,-0.106438,-0.0017,0.743644
0.7033,4.0029,-2.2266,-0.10579,-0.0019,0.743079
0.7015,4.065,-2.2246,-0.105697,-0.0018,0.742497
0.7015,4.065,-2.2246,-0.108935,0,0.741915
0.6995,4.1313,-2.2061,-0.105032,-0.002,0.741314
0.6976,4.1947,-2.287,-0.104923,-0.0019,0.740694
0.6956,4.2594,-2.1895,-0.10444,-0.002,0.740055
0.6935,4.3234,-2.1868,-0.103942,-0.0021,0.739397
0.6935,4.3234,-2.1868,-0.107719,0,0.738739
0.6914,4.3875,-2.1622,-0.10362,-0.0021,0.738061
0.6893,4.4514,-2.2566,-0.103302,-0.0021,0.737362
0.687,4.5151,-2.1542,-0.102593,-0.0023,0.736642
0.6848,4.5788,-2.1462,-0.10244,-0.0022,0.735901
0.6825,4.6423,-2.1285,-0.101911,-0.0023,0.735138
0.6802,4.7057,-2.1247,-0.101562,-0.0023,0.734354
0.6778,4.769,-2.1114,-0.101018,-0.0024,0.733548
0.6778,4.769,-2.1114,-0.105334,0,0.732743
0.6753,4.8321,-2.0891,-0.100455,-0.0025,0.731913
0.6728,4.8951,-2.197,-0.100075,-0.0025,0.73106
0.6702,4.958,-2.075,-0.0995009,-0.0026,0.730182
0.6702,4.958,-2.075,-0.104177,0,0.729306
0.6676,5.0208,-2.0512,-0.099102,-0.0026,0.728406
0.665,5.0834,-2.1681,-0.0987074,-0.0026,0.727482
0.6622,5.146,-2.0412,-0.0979227,-0.0028,0.726533
0.6595,5.2084,-2.0314,-0.0976928,-0.0027,0.725559
0.6566,5.2707,-2.0117,-0.0968928,-0.0029,0.724559
0.6566,5.2707,-2.0117,-0.102108,0,0.723559
0.6538,5.3328,-1.986,-0.0966427,-0.0028,0.722533
0.6508,5.3948,-2.1164,-0.0958274,-0.003,0.72148
0.6478,5.4567,-1.9797,-0.095372,-0.003,0.720397
0.6448,5.5185,-1.9594,-0.0949164,-0.003,0.719286
0.6417,5.5801,-1.948,-0.0942657,-0.0031,0.718147
0.6417,5.5801,-1.948,-0.0998401,0,0.717012
0.6385,5.6416,-1.9203,-0.0935942,-0.0032,0.715848
0.6353,5.703,-2.0597,-0.0931083,-0.0032,0.714655
0.632,5.7643,-1.9035,-0.0924272,-0.0033,0.713432
0.6286,5.8254,-1.8914,-0.0917309,-0.0034,0.712175
0.6252,5.8865,-1.8743,-0.0912144,-0.0034,0.710888
0.6218,5.9473,-1.8569,-0.0906979,-0.0034,0.709571
0.6182,6.0081,-1.844,-0.0897911,-0.0036,0.708221
0.6182,6.0081,-1.844,-0.0962644,0,0.706875
0.6147,6.0688,-1.8084,-0.0894325,-0.0035,0.705494
0.611,6.1292,-1.9703,-0.0885104,-0.0037,0.70408
0.6073,6.1896,-1.7995,-0.0879482,-0.0037,0.702633
0.6073,6.1896,-1.7995,-0.094601,0,0.701191
0.6035,6.2499,-1.7624,-0.0871836,-0.0038,0.699715
0.5996,6.31,-1.9287,-0.086411,-0.0039,0.698205
0.5957,6.37,-1.7433,-0.0858183,-0.0039,0.696661
0.5918,6.43,-1.7239,-0.0852254,-0.0039,0.695078
0.5877,6.4897,-1.7091,-0.0842423,-0.0041,0.693459
0.5877,6.4897,-1.7091,-0.0916142,0,0.691845
0.5836,6.5494,-1.6697,-0.083611,-0.0041,0.690196
0.5795,6.6089,-1.854,-0.0829876,-0.0041,0.688511
0.5756,6.6683,-1.6539,-0.0827539,-0.0039,0.686787
0.5718,6.7276,-1.6384,-0.0823552,-0.0038,0.685031
0.5684,6.7867,-1.6325,-0.0825562,-0.0034,0.683247
0.5684,6.7867,-1.6325,-0.0886673,0,0.681469
0.5624,6.9047,-1.6276,-0.0769582,-0.006,0.679638
0.5624,6.9047,-1.6276,-0.0877491,0,0.677813
