cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0,0,-0.11397,0,0.7598
0.7598,0.438,0,-0.11397,0,0.7598
0.7598,0.876,-2.4129,-0.11397,0,0.7598
0.7598,0.876,-2.4129,-0.11397,0,0.7598
0.7598,1.314,-2.4129,-0.11397,0,0.7598
0.7598,1.314,-2.4129,-0.11397,0,0.7598
0.7598,1.752,-2.4129,-0.11397,0,0.7598
0.7598,2.19,-2.4129,-0.11397,0,0.7598
0.7598,2.628,-2.4129,-0.11397,0,0.7598
0.7598,3.066,-2.4129,-0.11397,0,0.7598
0.7598,3.504,-2.4129,-0.11397,0,0.7598
0.7598,3.504,-2.4129,-0.11397,0,0.7598
0.7598,3.942,-2.4129,-0.11397,0,0.7598
0.7598,4.38,-2.4129,-0.11397,0,0.7598
0.7598,4.818,-2.4129,-0.11397,0,0.7598
0.7598,5.256,-2.4129,-0.11397,0,0.7598
0.7598,5.694,-2.4129,-0.11397,0,0.7598
0.7598,6.132,-2.4129,-0.11397,0,0.7598
0.7599,6.57,-2.4129,-0.11478,0.0001,0.759805
0.7599,6.57,-2.4129,-0.113981,0,0.75981
0.7598,6.7858,-2.4332,-0.11317,-0.0001,0.75981
0.7598,6.7858,-2.4332,-0.11397,0,0.759809
0.7598,4.8685,-2.3929,-0.11397,0,0.759809
0.7597,3.1912,-2.4129,-0.11316,-0.0001,0.759804
0.7597,3.1912,-2.4129,-0.11396,0,0.7598
0.7597,1.6808,-2.3927,-0.11396,0,0.759796
0.7596,0.4995,-2.4127,-0.113149,-0.0001,0.759789
0.7596,0.4995,-2.4127,-0.113949,0,0.759782
0.7596,0.5691,-2.3924,-0.113949,0,0.759776
0.7595,1.2515,-2.4124,-0.113138,-0.0001,0.759767
0.7593,1.6139,-2.4124,-0.112318,-0.0002,0.759752
0.7592,1.757,-2.3921,-0.113107,-0.0001,0.759734
0.7591,1.7271,-2.3716,-0.113096,-0.0001,0.759715
0.759,1.5607,-2.3913,-0.113085,-0.0001,0.759694
0.759,1.5607,-2.3913,-0.113884,0,0.759674
0.7589,1.323,-2.3908,-0.113073,-0.0001,0.759653
0.7587,1.0525,-2.4108,-0.112251,-0.0002,0.759627
0.7586,0.8195,-2.3905,-0.11304,-0.0001,0.7596
0.7586,0.8195,-2.3905,-0.113839,0,0.759574
0.7584,0.6267,-2.3897,-0.112217,-0.0002,0.759545
0.7583,0.5328,-2.4096,-0.113006,-0.0001,0.759515
0.7581,0.5578,-2.3691,-0.112184,-0.0002,0.759481
0.7579,0.6117,-2.3888,-0.112162,-0.0002,0.759444
0.7579,0.6117,-2.3888,-0.11376,0,0.759409
0.7577,0.6745,-2.3677,-0.112139,-0.0002,0.759371
0.7573,0.732,-2.4077,-0.110496,-0.0004,0.759326
0.7573,0.732,-2.4077,-0.113694,0,0.759283
0.757,0.7729,-2.3261,-0.111262,-0.0003,0.759235
0.7568,0.7564,-2.406,-0.112039,-0.0002,0.759186
0.7565,0.772,-2.3452,-0.111207,-0.0003,0.759132
0.7563,0.7755,-2.3647,-0.111984,-0.0002,0.759076
0.7563,0.7755,-2.3647,-0.113581,0,0.759023
0.756,0.8184,-2.3633,-0.111148,-0.0003,0.758966
0.756,0.8184,-2.3633,-0.113546,0,0.758911
0.7558,0.8128,-2.3424,-0.111923,-0.0002,0.758855
0.7555,0.8294,-2.4023,-0.11109,-0.0003,0.758795
0.7555,0.8294,-2.4023,-0.113487,0,0.758737
0.7549,0.9531,-2.3409,-0.108624,-0.0006,0.758671
0.7549,0.9531,-2.3409,-0.11342,0,0.758607
0.7546,0.9444,-2.2793,-0.110987,-0.0003,0.75854
0.7546,0.9444,-2.2793,-0.113384,0,0.758475
0.7542,1.0169,-2.3383,-0.11014,-0.0004,0.758406
0.7538,1.0676,-2.3983,-0.110097,-0.0004,0.758333
0.7535,1.0591,-2.3172,-0.110863,-0.0003,0.758258
0.7531,1.1144,-2.3161,-0.110019,-0.0004,0.758178
0.7531,1.1144,-2.3161,-0.113215,0,0.758102
0.7527,1.1677,-2.3141,-0.109971,-0.0004,0.758021
0.7523,1.1941,-2.394,-0.109927,-0.0004,0.757937
0.7523,1.1941,-2.394,-0.113123,0,0.757855
0.7519,1.2309,-2.3118,-0.109879,-0.0004,0.75777
0.7519,1.2309,-2.3118,-0.113074,0,0.757687
0.7514,1.2799,-2.3106,-0.10902,-0.0005,0.7576
0.7514,1.2799,-2.3106,-0.113016,0,0.757515
0.751,1.2823,-2.2892,-0.109771,-0.0004,0.757427
0.7505,1.3239,-2.3891,-0.108917,-0.0005,0.757335
0.7501,1.3907,-2.308,-0.109672,-0.0004,0.757239
0.7501,1.3907,-2.308,-0.112867,0,0.757147
0.7496,1.4064,-2.3055,-0.108813,-0.0005,0.75705
0.7491,1.4444,-2.3854,-0.108757,-0.0005,0.756949
0.7485,1.5024,-2.284,-0.107892,-0.0006,0.756844
0.748,1.5303,-2.2826,-0.108637,-0.0005,0.756735
0.748,1.5303,-2.2826,-0.112631,0,0.756628
0.7474,1.5768,-2.2796,-0.107766,-0.0006,0.756517
0.7468,1.6213,-2.3795,-0.1077,-0.0006,0.756401
0.7468,1.6213,-2.3795,-0.112494,0,0.756288
0.7462,1.6972,-2.2562,-0.107629,-0.0006,0.756171
0.745,1.7785,-2.376,-0.102702,-0.0012,0.756043
0.7443,1.8353,-2.2544,-0.106625,-0.0007,0.755909
0.7436,1.888,-2.1312,-0.106549,-0.0007,0.755771
0.7429,1.961,-2.2293,-0.106471,-0.0007,0.755628
0.7406,2.1041,-2.2274,-0.0934331,-0.0023,0.755463
0.7406,2.1041,-2.2274,-0.111825,0,0.755301
0.7398,2.1736,-1.8995,-0.105337,-0.0008,0.755134
0.7398,2.1736,-1.8995,-0.111729,0,0.754971
0.739,2.2538,-2.1971,-0.10524,-0.0008,0.754803
0.739,2.2538,-2.1971,-0.111632,0,0.754639
0.7382,2.303,-2.1947,-0.105143,-0.0008,0.754469
0.7382,2.303,-2.1947,-0.111535,0,0.754303
0.7373,2.3568,-2.1923,-0.104237,-0.0009,0.754131
0.7373,2.3568,-2.1923,-0.111428,0,0.753963
0.7363,2.4147,-2.1696,-0.103316,-0.001,0.753728
0.7354,2.4882,-2.3494,-0.104014,-0.0009,0.753484
0.7344,2.5715,-2.1466,-0.103102,-0.001,0.75323
0.7334,2.6261,-2.164,-0.102988,-0.001,0.752966
0.7323,2.7085,-2.1412,-0.102065,-0.0011,0.752691
0.7323,2.7085,-2.1412,-0.110851,0,0.752416
0.7301,2.8449,-2.1153,-0.093016,-0.0022,0.752119
0.7301,2.8449,-2.1153,-0.110601,0,0.751822
0.729,2.9088,-1.8891,-0.101676,-0.0011,0.751514
0.729,2.9088,-1.8891,-0.11046,0,0.751206
0.7278,2.9846,-2.1056,-0.100724,-0.0012,0.750886
0.7266,3.0684,-2.3252,-0.100588,-0.0012,0.750554
0.7266,3.0684,-2.3252,-0.110171,0,0.750222
0.7253,3.1325,-2.0784,-0.0996238,-0.0013,0.749877
0.7253,3.1325,-2.0784,-0.110007,0,0.749532
0.724,3.198,-2.0543,-0.0994587,-0.0013,0.749174
0.7226,3.2663,-2.3138,-0.0985001,-0.0014,0.748802
0.7213,3.332,-2.0501,-0.0991509,-0.0013,0.748417
0.7198,3.3995,-2.0262,-0.0973808,-0.0015,0.748016
0.7184,3.4639,-2.0424,-0.0980201,-0.0014,0.747601
0.7184,3.4639,-2.0424,-0.109199,0,0.747187
0.7169,3.5317,-2.0142,-0.0970279,-0.0015,0.746758
0.7154,3.5954,-2.2937,-0.0968557,-0.0015,0.746314
0.7138,3.6644,-1.9894,-0.0958727,-0.0016,0.745855
0.7122,3.729,-1.9851,-0.095689,-0.0016,0.74538
0.7106,3.796,-1.9605,-0.0955044,-0.0016,0.744889
0.7106,3.796,-1.9605,-0.10828,0,0.744399
0.7089,3.8595,-1.9513,-0.0944846,-0.0017,0.743892
0.7071,3.9268,-2.2707,-0.0934783,-0.0018,0.743367
0.7054,3.989,-1.9258,-0.0940813,-0.0017,0.742826
0.7054,3.989,-1.9258,-0.107654,0,0.742287
0.7036,4.056,-1.9157,-0.0930465,-0.0018,0.741731
0.7017,4.1187,-2.255,-0.0920278,-0.0019,0.741157
0.6998,4.1842,-1.8898,-0.0918082,-0.0019,0.740565
0.6959,4.3124,-1.8644,-0.0753867,-0.0039,0.739934
0.6939,4.3764,-1.8589,-0.0903542,-0.002,0.739284
0.6939,4.3764,-1.8589,-0.106322,0,0.738636
0.6919,4.4403,-1.8225,-0.0900884,-0.002,0.737969
0.6919,4.4403,-1.8225,-0.106055,0,0.737302
0.6898,4.5041,-1.8159,-0.0890108,-0.0021,0.736616
0.6876,4.5677,-2.215,-0.0879555,-0.0022,0.735909
0.6876,4.5677,-2.215,-0.10552,0,0.735204
0.6854,4.6313,-1.7626,-0.087664,-0.0022,0.734479
0.6832,4.6946,-2.2017,-0.0874066,-0.0022,0.733732
0.6809,4.7579,-1.7553,-0.0863382,-0.0023,0.732964
0.6809,4.7579,-1.7553,-0.1047,0,0.7322
0.6785,4.8211,-1.7221,-0.0852206,-0.0024,0.731412
0.6761,4.8841,-2.1812,-0.0849402,-0.0024,0.730603
0.6737,4.947,-1.6942,-0.0846586,-0.0024,0.729772
0.6712,5.0098,-1.6872,-0.083566,-0.0025,0.728919
0.6712,5.0098,-1.6872,-0.103523,0,0.728068
0.65,5.5077,-1.6528,0.0682497,-0.0212,0.727005
