cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0.438,0,-0.07598,0,0.7598
0.7598,0.876,0,-0.07598,0,0.7598
0.7598,0.876,0,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.314,-1.4632,-0.07598,0,0.7598
0.7598,1.752,-1.4632,-0.07598,0,0.7598
0.7598,2.19,-1.4632,-0.07598,0,0.7598
0.7598,2.628,-1.4632,-0.07598,0,0.7598
0.7598,3.066,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.504,-1.4632,-0.07598,0,0.7598
0.7598,3.942,-1.4632,-0.07598,0,0.7598
0.7598,4.38,-1.4632,-0.07598,0,0.7598
0.7598,4.818,-1.4632,-0.07598,0,0.7598
0.7598,5.256,-1.4632,-0.07598,0,0.7598
0.7598,5.694,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7598,6.132,-1.4632,-0.07598,0,0.7598
0.7599,6.57,-1.4632,-0.07604,0.0001,0.759805
0.7599,6.7858,-1.4632,-0.07599,0,0.75981
0.7598,4.8701,-1.4647,-0.07593,-0.0001,0.75981
0.7598,3.1913,-1.4634,-0.07598,0,0.759809
0.7598,3.1913,-1.4634,-0.07598,0,0.759809
0.7598,1.6765,-1.4632,-0.07598,0,0.759808
0.7597,0.4733,-1.4632,-0.07592,-0.0001,0.759804
0.7597,0.6085,-1.4632,-0.07597,0,0.7598
0.7596,1.2402,-1.4617,-0.07591,-0.0001,0.759793
0.7594,1.7628,-1.4629,-0.07584,-0.0002,0.759779
0.7594,1.7628,-1.4629,-0.07594,0,0.759766
0.7592,1.5609,-1.4597,-0.07582,-0.0002,0.759747
0.7591,1.3273,-1.4622,-0.07586,-0.0001,0.759726
0.759,1.0564,-1.4592,-0.07585,-0.0001,0.759703
0.7589,0.811,-1.4602,-0.07584,-0.0001,0.759679
0.7588,0.6247,-1.4599,-0.07583,-0.0001,0.759653
0.7588,0.6247,-1.4599,-0.07588,0,0.759629
0.7587,0.5228,-1.4594,-0.07582,-0.0001,0.759603
0.7586,0.5173,-1.4607,-0.07581,-0.0001,0.759576
0.7584,0.5904,-1.4592,-0.07574,-0.0002,0.759545
0.7581,0.6666,-1.4589,-0.07566,-0.0003,0.759508
0.7578,0.7123,-1.4572,-0.07563,-0.0003,0.759465
0.7577,0.6849,-1.4552,-0.07572,-0.0001,0.759422
0.7577,0.6849,-1.4552,-0.07577,0,0.759381
0.7575,0.7392,-1.4567,-0.07565,-0.0002,0.759337
0.7573,0.7358,-1.4579,-0.07563,-0.0002,0.759291
0.7571,0.7889,-1.4549,-0.07561,-0.0002,0.759242
0.7569,0.7998,-1.4544,-0.07559,-0.0002,0.759191
0.7567,0.8826,-1.4539,-0.07557,-0.0002,0.759138
0.7565,0.8414,-1.4534,-0.07555,-0.0002,0.759083
0.7562,0.879,-1.4529,-0.07547,-0.0003,0.759024
0.756,0.9249,-1.4524,-0.0755,-0.0002,0.758964
0.7555,1.0394,-1.4504,-0.0753,-0.0005,0.758896
0.7552,1.0456,-1.4512,-0.07537,-0.0003,0.758825
0.7549,1.0842,-1.4462,-0.07534,-0.0003,0.758751
0.7547,1.0962,-1.4479,-0.07537,-0.0002,0.758676
0.7544,1.0989,-1.4472,-0.07529,-0.0003,0.758598
0.7541,1.1805,-1.4479,-0.07526,-0.0003,0.758518
0.7537,1.234,-1.4459,-0.07517,-0.0004,0.758433
0.7537,1.234,-1.4459,-0.07537,0,0.758352
0.7534,1.2342,-1.4429,-0.07519,-0.0003,0.758268
0.7531,1.2926,-1.4479,-0.07516,-0.0003,0.758182
0.7527,1.3151,-1.4434,-0.07507,-0.0004,0.758092
0.7523,1.3666,-1.4427,-0.07503,-0.0004,0.757998
0.752,1.4045,-1.4404,-0.07505,-0.0003,0.757903
0.7512,1.4944,-1.4399,-0.07472,-0.0008,0.757798
0.7508,1.5551,-1.4399,-0.07488,-0.0004,0.757691
0.7503,1.6219,-1.4317,-0.07478,-0.0005,0.757579
0.7499,1.6457,-1.4357,-0.07479,-0.0004,0.757464
0.7499,1.6457,-1.4357,-0.07499,0,0.757353
0.7494,1.7032,-1.4334,-0.07469,-0.0005,0.757238
0.7484,1.8491,-1.4384,-0.07434,-0.001,0.757111
0.7479,1.8837,-1.4309,-0.07454,-0.0005,0.756982
0.7474,1.934,-1.4222,-0.07449,-0.0005,0.756849
0.7474,1.934,-1.4222,-0.07474,0,0.756719
0.7468,1.9569,-1.4259,-0.07438,-0.0006,0.756585
0.7463,2.0337,-1.4322,-0.07438,-0.0005,0.756448
0.7457,2.0889,-1.4232,-0.07427,-0.0006,0.756307
0.7451,2.1588,-1.4232,-0.07421,-0.0006,0.756161
0.7445,2.2138,-1.4204,-0.07415,-0.0006,0.756012
0.7445,2.2138,-1.4204,-0.07445,0,0.755866
0.7438,2.2512,-1.4174,-0.07403,-0.0007,0.755715
0.7432,2.3086,-1.4249,-0.07402,-0.0006,0.75556
