cte,speed,angle,steer_value,cte_diff,cte_integ
0.7598,0.438,0,-0.7598,0,0.7598
0.7598,0.876,0,-0.7598,0,0.7598
0.7598,0.876,0,-0.7598,0,0.7598
0.7598,1.314,-18.5587,-0.7598,0,0.7598
0.7598,1.752,-18.5587,-0.7598,0,0.7598
0.7598,2.19,-18.5587,-0.7598,0,0.7598
0.7598,2.628,-18.5587,-0.7598,0,0.7598
0.7598,2.628,-18.5587,-0.7598,0,0.7598
0.7598,3.066,-18.5587,-0.7598,0,0.7598
0.7598,3.504,-18.5587,-0.7598,0,0.7598
0.7598,3.942,-18.5587,-0.7598,0,0.7598
0.7598,4.38,-18.5587,-0.7598,0,0.7598
0.7598,4.818,-18.5587,-0.7598,0,0.7598
0.7598,4.818,-18.5587,-0.7598,0,0.7598
0.7598,5.694,-18.5587,-0.7598,0,0.7598
0.7598,5.694,-18.5587,-0.7598,0,0.7598
0.7598,6.132,-18.5587,-0.7598,0,0.7598
0.7599,6.57,-18.5587,-0.7599,0.0001,0.759806
0.7597,6.7858,-18.5587,-0.7597,-0.0002,0.7598
0.7597,6.7858,-18.5587,-0.7597,0,0.759795
0.7591,3.1911,-18.5562,-0.7591,-0.0006,0.759762
0.7586,1.6877,-18.5562,-0.7586,-0.0005,0.759709
0.7584,0.4643,-18.5412,-0.7584,-0.0002,0.759652
0.7578,0.5961,-18.5287,-0.7578,-0.0006,0.759575
0.7578,0.5961,-18.5287,-0.7578,0,0.759504
0.7573,1.2349,-18.5087,-0.7573,-0.0005,0.759419
0.7568,1.6197,-18.5087,-0.7568,-0.0005,0.759322
0.7562,1.7601,-18.4962,-0.7562,-0.0006,0.759211
0.7549,1.5567,-18.4837,-0.7549,-0.0013,0.759062
0.7543,1.3177,-18.4687,-0.7543,-0.0006,0.758903
0.7535,1.0624,-18.4362,-0.7535,-0.0008,0.758729
0.7535,1.0624,-18.4362,-0.7535,0,0.758566
0.7528,0.7927,-18.4012,-0.7528,-0.0007,0.758391
0.752,0.5942,-18.4012,-0.752,-0.0008,0.758203
0.7511,0.5175,-18.3837,-0.7511,-0.0009,0.758
0.7511,0.5175,-18.3837,-0.7511,0,0.757808
0.7503,0.5035,-18.3412,-0.7503,-0.0008,0.757605
0.7493,0.5752,-18.3412,-0.7493,-0.001,0.757387
0.7483,0.6226,-18.3212,-0.7483,-0.001,0.757154
0.7472,0.7031,-18.2962,-0.7472,-0.0011,0.756905
0.7449,0.7085,-18.2712,-0.7449,-0.0023,0.756612
0.7438,0.7318,-18.2437,-0.7438,-0.0011,0.756307
0.7438,0.7318,-18.2437,-0.7438,0,0.756016
0.7425,0.7739,-18.1587,-0.7425,-0.0013,0.755709
0.7412,0.7566,-18.1587,-0.7412,-0.0013,0.755387
0.7398,0.7941,-18.1262,-0.7398,-0.0014,0.755048
0.7398,0.7941,-18.1262,-0.7398,0,0.754723
0.7384,0.7797,-18.0587,-0.7384,-0.0014,0.754383
0.7369,0.8014,-18.0587,-0.7369,-0.0015,0.754027
0.7354,0.8551,-18.0237,-0.7354,-0.0015,0.753654
0.7337,0.8811,-17.9862,-0.7337,-0.0017,0.753263
